DEPTH,Gamma Ray (GR),Deep Resisitivity (RT),Medium Resistivity (RM),Shallow Resistivity (RS),Density (RHOB),Neutron Porosity (NPHI),Total Porosity (PHIT),Effective Porosity (PHIE),Clay Volume (VCL),Permeability (Perm),Water Saturation (SW),Labels
2503.0176,60.9556,2.2023,2.3141,2.226,2.504,0.2864,0.138,0.0748,0.5566,0.0076,1.0,1
2503.17,64.03,2.2436,2.2831,2.2731,2.5041,0.2708,0.134,0.0595,0.6179,0.0016,1.0,1
2503.3224,69.2779,2.3475,2.3387,2.3417,2.5,0.2719,0.1362,0.0493,0.6869,0.0003,1.0,1
2503.4748,68.4663,2.3111,2.19,2.1737,2.4913,0.2905,0.1448,0.0473,0.7406,0.0002,1.0,1
2503.6272,64.4615,2.1176,2.0001,1.9081,2.4806,0.2864,0.1486,0.0671,0.6388,0.0019,1.0,1
2503.7796,55.1974,1.6434,1.3916,1.4026,2.4428,0.2873,0.1795,0.1269,0.4887,0.1273,1.0,0
2504.9988,51.3852,1.4965,1.4477,1.3871,2.4344,0.282,0.1811,0.156,0.3959,0.821,1.0,0
2505.1512,53.0441,1.5841,1.597,1.4954,2.4487,0.2572,0.1671,0.1442,0.3909,0.6421,1.0,0
2505.3036,53.9141,1.6865,1.678,1.6282,2.4493,0.2572,0.1668,0.1343,0.453,0.2392,1.0,0
2505.456,53.1051,1.7639,1.7424,1.7113,2.4565,0.2659,0.1668,0.127,0.4632,0.1711,1.0,0
2505.6084,52.1024,1.8858,1.8775,1.8113,2.4599,0.2684,0.1663,0.144,0.3833,0.696,1.0,0
2505.7608,55.5096,1.9615,1.9022,1.8537,2.4635,0.2587,0.1616,0.1145,0.4817,0.093,1.0,0
2505.9132,57.498,1.9244,1.9534,1.8447,2.4616,0.2679,0.1526,0.0804,0.5856,0.0072,1.0,0
2506.0656,59.3422,1.9228,1.9364,1.9119,2.4576,0.2661,0.1664,0.1132,0.4978,0.0738,1.0,0
2506.218,59.8373,2.0062,1.9978,1.996,2.4663,0.2813,0.1538,0.0951,0.525,0.0276,1.0,0
2506.3704,64.6183,2.2369,2.266,2.2061,2.4799,0.2874,0.1492,0.0623,0.6685,0.001,1.0,1
2506.5228,68.2288,2.2944,2.2321,2.2267,2.4961,0.291,0.1427,0.0462,0.7382,0.0001,1.0,1
2506.6752,70.6886,2.189,2.2324,2.1075,2.4997,0.2894,0.1407,0.0504,0.7017,0.0003,1.0,1
2506.8276,71.1256,2.1813,2.1901,2.1416,2.5013,0.3121,0.1456,0.0474,0.7441,0.0002,1.0,1
2506.98,72.3289,2.0829,2.1515,2.0755,2.4979,0.3157,0.1481,0.0417,0.7942,0.0001,1.0,1
2507.1324,70.4221,2.0814,2.0167,2.0901,2.5027,0.3111,0.1447,0.0457,0.7514,0.0001,1.0,1
2507.2848,70.2877,2.2943,2.248,2.2836,2.5101,0.2935,0.137,0.0541,0.6616,0.0007,1.0,1
2507.4372,68.6304,2.5341,2.5104,2.4164,2.5181,0.3211,0.1402,0.0518,0.6907,0.0004,1.0,1
2507.5896,70.2374,2.4809,2.3856,2.3219,2.5087,0.3332,0.1475,0.0479,0.7499,0.0001,1.0,1
2507.742,67.2471,2.3109,2.237,2.1896,2.4895,0.3197,0.1529,0.046,0.7886,0.0001,1.0,1
2507.8944,64.9783,2.1181,2.1054,2.0277,2.4737,0.3062,0.1567,0.0798,0.6046,0.0056,1.0,1
2508.0468,62.6494,2.1385,2.2569,2.079,2.4733,0.2928,0.1535,0.0872,0.5572,0.0136,1.0,0
2508.1992,64.4848,2.1385,2.3893,2.079,2.4923,0.2793,0.1415,0.0645,0.6228,0.002,1.0,1
2508.3516,66.0972,2.1385,2.5493,2.079,2.5047,0.2659,0.1325,0.0393,0.7335,0.0001,1.0,1
2508.504,67.1066,2.6457,2.7315,2.6556,2.5174,0.2728,0.1285,0.0366,0.7317,0.0001,1.0,1
2508.6564,65.2215,2.657,2.7143,2.6607,2.5111,0.2635,0.129,0.0539,0.6272,0.001,1.0,1
2508.8088,65.207,2.6123,2.5715,2.5873,2.5124,0.2782,0.1321,0.0625,0.5938,0.0025,1.0,1
2508.9612,65.7702,2.4338,2.4403,2.3075,2.5035,0.2755,0.1355,0.0519,0.6679,0.0005,1.0,1
2509.1136,63.6213,2.1958,2.1872,2.0186,2.4835,0.2719,0.1437,0.0521,0.7052,0.0003,1.0,1
2509.266,59.4511,1.7767,1.7447,1.6097,2.4585,0.274,0.1555,0.1021,0.5046,0.0459,1.0,0
2509.4184,53.52,1.4803,1.4288,1.3711,2.4386,0.2704,0.1756,0.1488,0.4351,0.4357,1.0,0
2509.5708,51.6676,1.5506,1.5904,1.4708,2.4363,0.2605,0.1732,0.1487,0.403,0.6292,1.0,0
2509.8756,49.2244,1.4694,1.4592,1.4514,2.4432,0.2601,0.1703,0.1471,0.3878,0.7193,1.0,0
2510.1804,53.0209,1.8868,1.9571,1.8135,2.45,0.2586,0.167,0.1439,0.3949,0.6082,1.0,0
2510.3328,56.9989,2.1417,2.1525,2.0246,2.4739,0.2715,0.1479,0.0891,0.5298,0.0203,1.0,0
2510.4852,65.6079,2.0623,2.096,1.9564,2.493,0.3126,0.1495,0.0753,0.5987,0.0048,1.0,1
2510.6376,70.587,1.8656,1.8382,1.8433,2.4968,0.3347,0.1533,0.0495,0.768,0.0001,1.0,1
2510.79,73.7272,1.8408,1.8153,1.8303,2.4888,0.3136,0.1517,0.0374,0.842,0.0,1.0,1
2510.9424,72.9471,2.1582,2.1837,2.1535,2.4932,0.2958,0.1452,0.0547,0.6962,0.0005,1.0,1
2511.0948,72.4555,2.3359,2.3465,2.2806,2.5019,0.3119,0.1453,0.061,0.6588,0.0011,1.0,1
2511.2472,73.5682,2.3136,2.368,2.2523,2.5014,0.2916,0.1405,0.0374,0.7862,0.0,1.0,1
2511.3996,71.8997,2.4296,2.41,2.3997,2.5045,0.2835,0.137,0.0414,0.7418,0.0001,1.0,1
2511.552,69.1916,2.6062,2.6108,2.5287,2.5172,0.293,0.1336,0.0516,0.6615,0.0005,1.0,1
2511.7044,66.5078,2.5245,2.4508,2.4078,2.5272,0.2778,0.1253,0.0423,0.6793,0.0002,1.0,1
2511.8568,65.738,2.3995,2.3484,2.3086,2.5249,0.2964,0.131,0.0479,0.6713,0.0004,1.0,1
2512.0092,65.1857,2.343,2.3681,2.2977,2.5219,0.2693,0.1255,0.049,0.6401,0.0006,1.0,1
2512.1616,66.644,2.455,2.4026,2.4235,2.5237,0.2713,0.1252,0.0479,0.6448,0.0005,1.0,1
2512.314,67.7033,2.4573,2.42,2.3973,2.531,0.2892,0.1264,0.041,0.6926,0.0002,1.0,1
2512.4664,67.2235,2.5312,2.496,2.4431,2.5304,0.2614,0.1197,0.0385,0.6766,0.0001,1.0,1
2512.6188,64.563,2.562,2.4602,2.4666,2.5247,0.2706,0.1246,0.0586,0.5833,0.0022,1.0,1
2512.7712,59.8966,2.4597,2.4072,2.3856,2.5102,0.273,0.1318,0.0653,0.5782,0.0035,1.0,1
2512.9236,60.1283,2.3695,2.3704,2.272,2.5023,0.2487,0.1426,0.0985,0.4825,0.0515,1.0,0
2513.076,60.7661,2.3532,2.3272,2.2784,2.4994,0.2642,0.1345,0.0652,0.5899,0.0031,1.0,1
2513.2284,64.185,2.2538,2.2265,2.1769,2.5036,0.256,0.1306,0.0542,0.6324,0.0009,1.0,1
2513.3808,63.963,2.2534,2.2219,2.1645,2.5066,0.2617,0.1306,0.0533,0.6376,0.0008,1.0,1
2513.5332,63.4777,2.312,2.3142,2.1933,2.5059,0.2705,0.1331,0.0595,0.6142,0.0016,1.0,1
2513.6856,61.9215,2.2206,2.1437,2.1031,2.5046,0.2676,0.133,0.067,0.5745,0.0041,1.0,1
2513.838,59.7376,2.1272,2.0704,2.0479,2.5029,0.2741,0.1354,0.0659,0.5896,0.0032,1.0,1
2513.9904,58.5952,2.1767,2.1729,2.1328,2.5051,0.2564,0.144,0.0972,0.4897,0.0451,1.0,0
2514.1428,61.2441,2.3254,2.3249,2.2423,2.5096,0.2648,0.13,0.0737,0.5333,0.0094,1.0,1
2514.2952,64.9623,2.372,2.2799,2.2848,2.5149,0.288,0.1334,0.0473,0.6863,0.0003,1.0,1
